uni,city,region,program,rank
DOKUZ EYLÜL ÜNİVERSİTESİ (İZMİR) (Devlet Üniversitesi),İZMİR,Ege,Dilbilimi,25262
TRAKYA ÜNİVERSİTESİ (EDİRNE) (Devlet Üniversitesi),EDİRNE,Marmara,İngilizce Mütercim ve Tercümanlık,23839
SELÇUK ÜNİVERSİTESİ (KONYA)  (Devlet Üniversitesi),KONYA,İç Anadolu,İngilizce Mütercim ve Tercümanlık,26328
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ (BALIKESİR) (Devlet Üniversitesi),BALIKESİR,Marmara,İngilizce Mütercim ve Tercümanlık,26767
ÜSKÜDAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),İSTANBUL,Marmara,İngilizce Mütercim ve Tercümanlık (Burslu),14521
DOĞUŞ ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),İSTANBUL,Marmara,İngilizce Mütercim ve Tercümanlık (Burslu),16609
KTO KARATAY ÜNİVERSİTESİ (KONYA) (Vakıf Üniversitesi),KONYA,İç Anadolu,İngilizce Mütercim ve Tercümanlık (Burslu),19928
ÇAĞ ÜNİVERSİTESİ (MERSİN) (Vakıf Üniversitesi),MERSİN,Akdeniz,İngilizce Mütercim ve Tercümanlık (Burslu),29411
ONDOKUZ MAYIS ÜNİVERSİTESİ (SAMSUN) (Devlet Üniversitesi),SAMSUN,Karadeniz,İngilizce Öğretmenliği,15509
ÇUKUROVA ÜNİVERSİTESİ (ADANA) (Devlet Üniversitesi),ADANA,Akdeniz,İngilizce Öğretmenliği,17144
ERCİYES ÜNİVERSİTESİ (KAYSERİ)  (Devlet Üniversitesi),KAYSERİ,İç Anadolu,İngilizce Öğretmenliği,18399
PAMUKKALE ÜNİVERSİTESİ (DENİZLİ) (Devlet Üniversitesi),DENİZLİ,Ege,İngilizce Öğretmenliği,19582
SÜLEYMAN DEMİREL ÜNİVERSİTESİ (ISPARTA) (Devlet Üniversitesi),ISPARTA,Akdeniz,İngilizce Öğretmenliği,20748
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ (ANTALYA) (Devlet Üniversitesi),ANTALYA,Akdeniz,İngilizce Öğretmenliği,20860
NECMETTİN ERBAKAN ÜNİVERSİTESİ (KONYA) (Devlet Üniversitesi),KONYA,İç Anadolu,İngilizce Öğretmenliği,21426
BİRUNİ ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),İSTANBUL,Marmara,İngilizce Öğretmenliği (Burslu),17566
TRAKYA ÜNİVERSİTESİ (EDİRNE) (Devlet Üniversitesi),EDİRNE,Marmara,İngilizce Öğretmenliği (İngilizce),22654
AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR) (Devlet Üniversitesi),AFYONKARAHİSAR,Ege,İngilizce Öğretmenliği (İngilizce),25512
BAHÇEŞEHİR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),İSTANBUL,Marmara,İngilizce Öğretmenliği (İngilizce) (%50 İndirimli),29192
MALTEPE ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),İSTANBUL,Marmara,İngilizce Öğretmenliği (İngilizce) (Burslu),15955
ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA) (Devlet Üniversitesi),ANKARA,İç Anadolu,İngilizce Öğretmenliği (İngilizce) (Burslu),19077
