uni,PROGRAM ADI (2),rank,city,region,priority,quota,P.DR. SAYI (14),D.DR. SAYI (15),DR.ÖĞR. ÜYE SAYI (16)
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği (İngilizce),13220.0,MUGLA,EGE,1.0,50.0,2.0,1.0,2.0
MERSİN ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği (İngilizce),13378.0,MERSIN,AKDENIZ,1.0,50.0,,3.0,2.0
İZMİR DEMOKRASİ ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği (İngilizce),13558.0,IZMIR,EGE,1.0,30.0,1.0,1.0,4.0
İSTANBUL KÜLTÜR ÜNİVERSİTESİ (Vakıf Üniversitesi),  İngilizce Öğretmenliği (İngilizce) (Burslu),13728.0,ISTANBUL,MARMARA,1.0,7.0,1.0,,3.0
BALIKESİR ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,14011.0,BALIKESIR,MARMARA,1.0,40.0,1.0,1.0,4.0
İSTANBUL OKAN ÜNİVERSİTESİ (Vakıf Üniversitesi),  İngilizce Öğretmenliği (Burslu),14245.0,ISTANBUL,MARMARA,1.0,7.0,,,4.0
AYDIN ADNAN MENDERES ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği (İngilizce),14370.0,AYDIN,EGE,1.0,50.0,2.0,2.0,
SÜLEYMAN DEMİREL ÜNİVERSİTESİ (ISPARTA) (Devlet Üniversitesi),  İngilizce Öğretmenliği,14659.0,ISPARTA,AKDENIZ,1.0,30.0,1.0,2.0,1.0
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ (ANTALYA) (Devlet Üniversitesi),  İngilizce Öğretmenliği,15685.0,ANTALYA,AKDENIZ,1.0,40.0,,3.0,
NECMETTİN ERBAKAN ÜNİVERSİTESİ (KONYA) (Devlet Üniversitesi),  İngilizce Öğretmenliği,16226.0,KONYA,IC ANADOLU,1.0,40.0,,2.0,4.0
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,16262.0,BOLU,KARADENIZ,1.0,40.0,2.0,1.0,1.0
SAKARYA ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği (İngilizce),16804.0,SAKARYA,MARMARA,1.0,40.0,,1.0,3.0
DÜZCE ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği (İngilizce),19290.0,DUZCE,KARADENIZ,1.0,40.0,,1.0,5.0
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,19448.0,NEVSEHIR,IC ANADOLU,1.0,50.0,,1.0,3.0
TRABZON ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,19592.0,TRABZON,KARADENIZ,1.0,50.0,1.0,1.0,3.0
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,20427.0,BURDUR,AKDENIZ,1.0,50.0,2.0,1.0,2.0
AMASYA ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,20960.0,AMASYA,KARADENIZ,1.0,40.0,,2.0,3.0
SİNOP ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği (İngilizce),21258.0,SINOP,KARADENIZ,1.0,30.0,,,5.0
ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA) (Devlet Üniversitesi),  İngilizce Öğretmenliği (İngilizce) (Burslu),21315.0,ANKARA,IC ANADOLU,1.0,13.0,,,
ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA) (Devlet Üniversitesi),  İngilizce Öğretmenliği (İngilizce) (UOLP-Suny New Paltz) (Ücretli),21470.0,ANKARA,IC ANADOLU,1.0,29.0,9.0,6.0,1.0
AKSARAY ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği (İngilizce),21588.0,AKSARAY,IC ANADOLU,1.0,30.0,,3.0,
GİRESUN ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,22941.0,GIRESUN,KARADENIZ,1.0,30.0,,,4.0
SİVAS CUMHURİYET ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,23080.0,SIVAS,IC ANADOLU,1.0,30.0,,3.0,2.0
BARTIN ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği (İngilizce),23307.0,BARTIN,KARADENIZ,1.0,30.0,,,7.0
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,23613.0,NIGDE,IC ANADOLU,1.0,40.0,,,5.0
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,24978.0,TOKAT,KARADENIZ,1.0,45.0,,,6.0
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,26113.0,KAHRAMANMARAS,AKDENIZ,1.0,30.0,,1.0,3.0
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,26961.0,HATAY,AKDENIZ,1.0,30.0,,2.0,1.0
YOZGAT BOZOK ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği (İngilizce),27252.0,YOZGAT,IC ANADOLU,1.0,40.0,,,4.0
BAYBURT ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Öğretmenliği,29410.0,BAYBURT,KARADENIZ,1.0,40.0,,,3.0
BURSA TEKNİK ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Mütercim ve Tercümanlık,13282.0,BURSA,MARMARA,2.0,30.0,,,4.0
İSTANBUL BEYKENT ÜNİVERSİTESİ (Vakıf Üniversitesi),  İngilizce Mütercim ve Tercümanlık (Burslu),14688.0,ISTANBUL,MARMARA,2.0,10.0,,,6.0
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA) (Vakıf Üniversitesi),"  İngilizce, Fransızca Mütercim ve Tercümanlık (%50 İndirimli)",15057.0,ANKARA,IC ANADOLU,2.0,38.0,,,
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Mütercim ve Tercümanlık,15283.0,MUGLA,EGE,2.0,50.0,,,4.0
İSTANBUL AYDIN ÜNİVERSİTESİ (Vakıf Üniversitesi),  İngilizce Mütercim ve Tercümanlık (Burslu),15898.0,ISTANBUL,MARMARA,2.0,16.0,2.0,,6.0
İSTANBUL ATLAS ÜNİVERSİTESİ (Vakıf Üniversitesi),  İngilizce Mütercim ve Tercümanlık (Burslu),16512.0,ISTANBUL,MARMARA,2.0,6.0,,,4.0
KTO KARATAY ÜNİVERSİTESİ (KONYA) (Vakıf Üniversitesi),  İngilizce Mütercim ve Tercümanlık (Burslu),16596.0,KONYA,IC ANADOLU,2.0,9.0,1.0,,4.0
İSTANBUL GELİŞİM ÜNİVERSİTESİ (Vakıf Üniversitesi),  İngilizce Mütercim ve Tercümanlık (Burslu),18099.0,ISTANBUL,MARMARA,2.0,12.0,,,3.0
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ (Vakıf Üniversitesi),  İngilizce Mütercim ve Tercümanlık (Burslu),18625.0,ISTANBUL,MARMARA,2.0,7.0,2.0,1.0,2.0
İSTANBUL AREL ÜNİVERSİTESİ (Vakıf Üniversitesi),  İngilizce Mütercim ve Tercümanlık (Burslu),18635.0,ISTANBUL,MARMARA,2.0,5.0,,,4.0
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ (Vakıf Üniversitesi),  İngilizce Mütercim ve Tercümanlık (Burslu),18737.0,ISTANBUL,MARMARA,2.0,12.0,,1.0,3.0
MANİSA CELÂL BAYAR ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Mütercim ve Tercümanlık,18892.0,MANISA,EGE,2.0,50.0,,,4.0
SAKARYA ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Mütercim ve Tercümanlık,19146.0,SAKARYA,MARMARA,2.0,60.0,1.0,,2.0
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ (Vakıf Üniversitesi),  İngilizce Mütercim ve Tercümanlık (Burslu),19226.0,ISTANBUL,MARMARA,2.0,4.0,,1.0,2.0
İSTANBUL TOPKAPI ÜNİVERSİTESİ (Vakıf Üniversitesi),  İngilizce Mütercim ve Tercümanlık (Burslu),19253.0,ISTANBUL,MARMARA,2.0,6.0,,,3.0
ONDOKUZ MAYIS ÜNİVERSİTESİ (SAMSUN) (Devlet Üniversitesi),  İngilizce Mütercim ve Tercümanlık,20376.0,SAMSUN,KARADENIZ,2.0,40.0,,1.0,4.0
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Mütercim ve Tercümanlık,22779.0,BOLU,KARADENIZ,2.0,50.0,,3.0,2.0
SAMSUN ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Mütercim ve Tercümanlık,22958.0,SAMSUN,KARADENIZ,2.0,40.0,1.0,1.0,2.0
SELÇUK ÜNİVERSİTESİ (KONYA) (Devlet Üniversitesi),  İngilizce Mütercim ve Tercümanlık,23011.0,KONYA,IC ANADOLU,2.0,60.0,1.0,1.0,1.0
TRABZON ÜNİVERSİTESİ (Devlet Üniversitesi),  İngilizce Mütercim ve Tercümanlık,27385.0,TRABZON,KARADENIZ,2.0,30.0,,,3.0
